"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Bregman, Alex","608324","2026","567","408",0.257,0.245,0.01200000000000001,0.407,0.367,0.03999999999999998,0.334,0.315,0.019000000000000017
"Henderson, Gunnar","683002","2026","567","382",0.22,0.243,-0.022999999999999993,0.398,0.4,-0.0020000000000000018,0.307,0.318,-0.01100000000000001
"Crow-Armstrong, Pete","691718","2026","566","334",0.282,0.252,0.02999999999999997,0.555,0.472,0.08300000000000007,0.398,0.361,0.03700000000000003
"Herrera, Iván","671056","2026","563","377",0.246,0.253,-0.007000000000000006,0.388,0.384,0.0040000000000000036,0.335,0.337,-0.0020000000000000018
"Busch, Michael","683737","2026","561","356",0.244,0.234,0.009999999999999981,0.389,0.402,-0.013000000000000012,0.331,0.331,0
"Reynolds, Bryan","668804","2026","556","338",0.261,0.246,0.015000000000000013,0.429,0.426,0.0030000000000000027,0.353,0.347,0.006000000000000005
"Tatis Jr., Fernando","665487","2026","551","390",0.28,0.289,-0.008999999999999952,0.432,0.473,-0.04099999999999998,0.342,0.369,-0.02699999999999997
"McGonigle, Kevin","805808","2026","551","394",0.281,0.26,0.02100000000000002,0.422,0.423,-0.0010000000000000009,0.359,0.35,0.009000000000000008
"Olson, Matt","621566","2026","549","353",0.262,0.25,0.01200000000000001,0.547,0.525,0.02200000000000002,0.376,0.364,0.01200000000000001
"Alonso, Pete","624413","2026","547","345",0.267,0.282,-0.014999999999999958,0.494,0.54,-0.04600000000000004,0.369,0.391,-0.02200000000000002
"Caminero, Junior","691406","2026","547","377",0.275,0.271,0.0040000000000000036,0.537,0.501,0.03600000000000003,0.382,0.367,0.015000000000000013
"Wetherholt, JJ","802139","2026","547","384",0.241,0.251,-0.010000000000000009,0.371,0.425,-0.05399999999999999,0.323,0.346,-0.022999999999999965
"Hoerner, Nico","663538","2026","546","454",0.265,0.301,-0.035999999999999976,0.364,0.377,-0.013000000000000012,0.306,0.327,-0.02100000000000002
"Alvarez, Yordan","670541","2026","546","360",0.318,0.329,-0.01100000000000001,0.615,0.678,-0.06300000000000006,0.434,0.46,-0.026000000000000023
"Stewart, Sal","701398","2026","544","368",0.258,0.252,0.006000000000000005,0.471,0.467,0.003999999999999948,0.345,0.345,0
