"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Crow-Armstrong, Pete","691718","2026","702","430",0.28,0.265,0.015000000000000013,0.578,0.516,0.061999999999999944,0.402,0.377,0.025000000000000022
"Bregman, Alex","608324","2026","693","505",0.262,0.25,0.01200000000000001,0.452,0.383,0.069,0.352,0.323,0.02899999999999997
"Herrera, Iván","671056","2026","692","461",0.247,0.25,-0.0030000000000000027,0.388,0.385,0.0030000000000000027,0.334,0.335,-0.0010000000000000009
"Henderson, Gunnar","683002","2026","690","464",0.227,0.248,-0.02099999999999999,0.408,0.404,0.003999999999999948,0.315,0.323,-0.008000000000000007
"Busch, Michael","683737","2026","685","424",0.239,0.232,0.0069999999999999785,0.396,0.403,-0.007000000000000006,0.334,0.333,0.0010000000000000009
"McGonigle, Kevin","805808","2026","684","495",0.274,0.267,0.007000000000000006,0.424,0.448,-0.02400000000000002,0.355,0.359,-0.0040000000000000036
"Tatis Jr., Fernando","665487","2026","683","488",0.285,0.297,-0.01200000000000001,0.468,0.503,-0.034999999999999976,0.356,0.38,-0.02400000000000002
"Alonso, Pete","624413","2026","682","429",0.265,0.283,-0.01799999999999996,0.51,0.552,-0.04200000000000004,0.374,0.397,-0.02300000000000002
"Vargas, Miguel","678246","2026","680","454",0.251,0.265,-0.014000000000000012,0.482,0.504,-0.02200000000000002,0.366,0.381,-0.015000000000000013
"Reynolds, Bryan","668804","2026","680","426",0.262,0.253,0.009000000000000008,0.423,0.444,-0.02100000000000002,0.349,0.354,-0.0050000000000000044
"Caminero, Junior","691406","2026","677","470",0.277,0.272,0.0050000000000000044,0.529,0.495,0.03400000000000003,0.379,0.363,0.016000000000000014
"Neto, Zach","687263","2026","675","390",0.237,0.212,0.024999999999999994,0.433,0.405,0.02799999999999997,0.332,0.311,0.02100000000000002
"Olson, Matt","621566","2026","675","440",0.253,0.246,0.007000000000000006,0.506,0.503,0.0030000000000000027,0.355,0.351,0.0040000000000000036
"Schwarber, Kyle","656941","2026","674","349",0.234,0.236,-0.001999999999999974,0.512,0.492,0.020000000000000018,0.371,0.365,0.006000000000000005
"Stewart, Sal","701398","2026","673","461",0.268,0.261,0.007000000000000006,0.47,0.477,-0.007000000000000006,0.346,0.349,-0.0030000000000000027
"Turner, Trea","607208","2026","673","479",0.241,0.242,-0.0010000000000000009,0.382,0.366,0.016000000000000014,0.3,0.295,0.0050000000000000044
"Harper, Bryce","547180","2026","667","418",0.271,0.27,0.0010000000000000009,0.491,0.484,0.007000000000000006,0.378,0.381,-0.0030000000000000027
"Bichette, Bo","666182","2026","667","497",0.263,0.279,-0.016000000000000014,0.392,0.42,-0.02799999999999997,0.309,0.328,-0.019000000000000017
"Hoerner, Nico","663538","2026","666","560",0.265,0.299,-0.033999999999999975,0.355,0.378,-0.02300000000000002,0.299,0.322,-0.02300000000000002
"Díaz, Yandy","650490","2026","664","503",0.292,0.28,0.011999999999999955,0.449,0.44,0.009000000000000008,0.351,0.347,0.0040000000000000036
"Lopez, Otto","672640","2026","664","531",0.305,0.281,0.023999999999999966,0.442,0.421,0.02100000000000002,0.343,0.328,0.015000000000000013
"Alvarez, Yordan","670541","2026","662","433",0.314,0.319,-0.0050000000000000044,0.598,0.637,-0.039000000000000035,0.426,0.442,-0.016000000000000014
"Albies, Ozzie","645277","2026","661","511",0.242,0.226,0.015999999999999986,0.402,0.345,0.05700000000000005,0.305,0.279,0.025999999999999968
"Abreu, Wilyer","677800","2026","657","447",0.251,0.255,-0.0040000000000000036,0.453,0.474,-0.020999999999999963,0.34,0.35,-0.009999999999999953
"Turang, Brice","668930","2026","654","400",0.264,0.254,0.010000000000000009,0.438,0.424,0.014000000000000012,0.354,0.344,0.010000000000000009
"Machado, Manny","592518","2026","653","439",0.219,0.244,-0.024999999999999994,0.406,0.42,-0.013999999999999957,0.311,0.33,-0.019000000000000017
"Burleson, Alec","676475","2026","651","475",0.282,0.29,-0.008000000000000007,0.466,0.517,-0.05099999999999999,0.352,0.373,-0.02100000000000002
