player_id,player_name,team,value
434378,Justin Verlander,DET,-0.21
445276,Kenley Jansen,DET,0.3
453286,Max Scherzer,TOR,-0.95
455119,Chris Martin,TEX,-0.77
471911,Carlos Carrasco,ATL,-0.22
472610,Luis Garcia,NYM,-0.62
489446,Kirby Yates,LAA,0.22
500743,Miguel Rojas,LAD,-0.19
500779,Jose Quintana,COL,0.33
518585,Fernando Cruz,NYY,1.14
518876,Merrill Kelly,ARI,0.31
518886,Craig Kimbrel,NYM,0.03
519141,Drew Pomeranz,CHC,-0.33999999999999997
519242,Chris Sale,ATL,4.01
527048,Martín Pérez,ATL,2.16
542888,Shawn Armstrong,CLE,-0.01
543037,Gerrit Cole,NYY,1.41
543056,Danny Coulombe,BOS,-0.08
543135,Nathan Eovaldi,TEX,1.01
543243,Sonny Gray,BOS,2.41
543309,Kyle Higashioka,TEX,-0.23
543510,James McCann,ARI,-0.17
544150,Albert Suárez,BAL,0.17
545121,Ildemaro Vargas,ARI,-0.02
547179,Michael Lorenzen,COL,-0.99
547184,Michael Kelly,ATH,-0.83
547973,Aroldis Chapman,BOS,1.43
548384,Brooks Raley,NYM,1.47
552640,Andrew Kittredge,BAL,-0.56
554430,Zack Wheeler,PHI,4.62
571510,Matthew Boyd,CHC,0.9
571578,Patrick Corbin,TOR,0.04
571927,Steven Matz,TBR,-0.87
571945,Miles Mikolas,WSN,-0.58
571948,Hoby Milner,CHC,0.29
572143,Burch Smith,DET,0.12
572955,Pierce Johnson,CIN,0.19
573009,Joe Mantiply,TOR,0.49
573124,Taylor Rogers,MIN,0.22
573204,Caleb Thielbar,CHC,0.11
579328,Yusei Kikuchi,LAA,-0.05
592094,Jason Adam,SDP,0.94
592155,Cam Booser,TBR,0.59
592332,Kevin Gausman,TOR,1.32
592454,Tommy Kahnle,BOS,-0.2
592662,Robbie Ray,SFG,1.96
592773,Ryne Stanek,STL,0.06
592779,Brock Stewart,LAD,0.24
592791,Jameson Taillon,CHC,-1.0
592826,Vince Velasquez,CHC,0.11
592836,Taijuan Walker,PHI,-0.67
592866,Trevor Williams,WSN,0.15
593958,Eduardo Rodríguez,ARI,4.59
593974,Wandy Peralta,SDP,0.9
594027,Tyron Guerrero,BOS,0.35
594580,Sam Moll,CIN,0.02
594798,Jacob deGrom,TEX,1.61
594835,Marco Gonzales,TEX,0.17
595014,Blake Treinen,LAD,0.25
595345,Steven Okert,HOU,1.84
595978,Austin Hedges,CLE,-0.06
596001,Jakob Junis,TEX,1.03
596117,Garrett Stubbs,PHI,0.01
596133,Luke Weaver,NYM,1.89
601713,Nick Pivetta,SDP,0.14
605130,Scott Barlow,ATH,-0.55
605135,Chris Bassitt,BAL,-0.03
605154,John Brebbia,COL,-0.09
605156,Aaron Brooks,TBR,-0.53
605218,Carl Edwards Jr.,NYM,0.16
605280,Clay Holmes,NYM,1.94
605288,Adrian Houser,SFG,-0.24
605335,Brandon Leibrandt,CIN,-0.09
605400,Aaron Nola,PHI,0.66
605441,Yacksel Ríos,CHC,0.06
605447,Jordan Romano,COL,0.040000000000000036
605452,Joe Ross,ARI,-0.45999999999999996
605483,Blake Snell,LAD,-0.24
605488,Jeffrey Springs,ATH,-0.58
605540,Brandon Woodruff,MIL,1.15
606115,Orlando Arcia,MIN,-0.02
606303,Joel Payamps,ATL,-0.4
606965,Chris Devenski,PIT,-0.05
606996,Kyle Hart,SDP,-0.26
607067,Colin Rea,CHC,-0.22
607074,Carlos Rodón,NYY,0.71
607192,Tyler Glasnow,LAD,1.28
607200,Erick Fedde,CHW,1.19
607259,Nick Martinez,TBR,2.92
607455,Anthony Banda,MIN,0.01
607481,Aaron Bummer,ATL,-0.75
607536,Kyle Freeland,COL,-1.03
607625,Seth Lugo,KCR,0.77
608032,Carlos Estévez,KCR,-0.49
608331,Max Fried,NYY,2.12
608337,Lucas Giolito,SDP,-0.19
608344,Cole Irvin,LAD,-0.41
608348,Carson Kelly,CHC,-0.06
608371,Lucas Sims,CHW,-0.12
608372,Tomoyuki Sugano,COL,1.94
608379,Michael Wacha,KCR,2.56
608566,Germán Márquez,SDP,0.17
608650,Dietrich Enns,BAL,0.15
608718,Brent Suter,LAA,0.05
608723,Austin Voth,MIN,-0.5
615698,Cal Quantrill,TEX,0.23
620443,Luis Torrens,NYM,-0.04
621016,Jose Cuas,KCR,0.09
621053,Tyler Ferguson,CHC,-0.1
621074,Michael Rucker,SEA,0.01
621097,Jacob Waguespack,DET,0.73
621107,Zach Eflin,BAL,0.16
621111,Walker Buehler,SDP,0.08
621112,Paul Blackburn,NYY,1.71
621121,Lance McCullers Jr.,MIL,-0.79
621139,Brooks Kriske,ATH,0.13
621237,José Alvarado,PHI,-0.18
621242,Edwin Díaz,LAD,-0.43
621345,A.J. Minter,NYM,0.48000000000000004
621366,Ryan Borucki,SFG,-0.16
621381,Matt Strahm,KCR,-1.3
621383,Tanner Banks,PHI,-0.63
621389,Ty Blach,CHC,0.1
622088,Tejay Antone,CIN,1.24
622491,Luis Castillo,SEA,-0.65
622554,Seranthony Domínguez,CHW,0.54
622608,Antonio Senzatela,COL,1.14
622663,Luis Severino,ATH,0.97
622694,Elieser Hernández,ATL,0.19
622761,Jorge Mateo,ATL,0.02
623149,Paul Sewald,ARI,-1.24
623168,Tyler Heineman,LAA,-0.11000000000000001
623211,Huascar Brazobán,NYM,1.51
623352,Josh Hader,HOU,1.3
623381,Thomas Pannone,MIL,-0.11
623437,Justin Topa,MIN,-0.7
623454,Drew Anderson,DET,0.21
623465,Evan Phillips,LAD,-0.17
623474,Jimmy Herget,COL,-0.6
624133,Ranger Suarez,BOS,1.81
624428,Adam Frazier,LAA,-0.13
624431,Jose Trevino,CIN,-0.22
624512,Reese McGuire,CHW,0.03
624522,Keegan Thompson,COL,-0.17
625643,Reynaldo López,ATL,0.78
628452,Raisel Iglesias,ATL,1.08
628708,Yunior Marte,CIN,-0.28
640448,Kyle Finnegan,DET,0.83
640451,Hunter Harvey,CHC,-0.1
640454,Matt Krook,WSN,-0.7000000000000001
640455,Sean Manaea,NYM,0.15
641302,Tyler Alexander,TEX,0.79
641312,Shaun Anderson,LAA,-0.23
641329,Bryan Baker,TBR,1.75
641401,Connor Brogdon,CLE,-0.43
641585,J.P. France,HOU,-0.14
641656,Ian Hamilton,ATL,-0.1
641743,Anthony Kay,CHW,1.33
641745,Brad Keller,PHI,0.57
641755,Tyler Kinley,ATL,0.27
641778,Eric Lauer,LAD,0.6100000000000001
641793,Zack Littell,WSN,-0.01
641816,Tyler Mahle,SFG,-0.2
641835,Tim Mayza,PHI,0.78
641927,Bailey Ober,MIN,1.05
641941,Emilio Pagán,CIN,0.12
642048,Tayler Saucedo,LAA,-0.05
642100,Gabe Speier,SEA,1.12
642121,Cole Sulser,TBR,-0.62
642152,Lou Trivino,PHI,-0.3
642207,Devin Williams,NYM,-0.29
642215,Weston Wilson,BAL,-0.12
642232,Ryan Yarbrough,NYY,0.02
642397,Gregory Soto,PIT,0.63
642528,Jonathan Loaisiga,ARI,1.0
642546,Jonathan Hernández,LAD,-0.42
642547,Freddy Peralta,NYM,-0.2
642701,Dennis Santana,PIT,-0.51
642759,Julian Fernández,WSN,-0.03
643361,Kevin Herget,NYM,0.03
643377,Griffin Jax,TBR,0.18
643410,Mark Leiter Jr.,ATH,0.53
643511,Tyler Rogers,TOR,1.3
644433,Chadwick Tromp,BAL,-0.06
645261,Sandy Alcantara,MIA,2.03
646241,Enmanuel De Jesus,DET,0.16
647315,Zach Pop,PHI,0.13
647336,Michael Soroka,ARI,2.14
650556,Bryan Abreu,HOU,0.26
650633,Michael King,SDP,2.82
650644,Aaron Civale,CHC,0.51
650911,Cristopher Sánchez,PHI,5.93
650960,Daniel Duarte,NYM,0.43
656212,Charlie Barnes,LAD,-0.24000000000000002
656222,Jalen Beeks,TEX,0.24
656234,Jake Bird,NYY,-0.42
656240,Scott Blewett,STL,0.18
656271,Brock Burke,CIN,1.02
656288,Griffin Canning,SDP,-0.98
656302,Dylan Cease,TOR,4.38
656427,Jack Flaherty,DET,0.05
656457,Tyler Gilbert,CHW,-0.4
656464,Kevin Ginkel,ARI,0.87
656492,Foster Griffin,WSN,3.5
656529,Sam Hentges,SFG,0.46
656546,Jeff Hoffman,TOR,-0.06
656550,Grant Holmes,ATL,1.37
656577,Alex Jackson,MIN,-0.08
656605,Mitch Keller,PIT,0.53
656638,Alex Lange,KCR,-1.02
656641,Jacob Latz,TEX,2.25
656686,Corbin Martin,CHC,-0.33
656716,Zach McKinstry,DET,-0.06
656730,Trevor Megill,MIL,1.09
656794,Sean Newcomb,CHW,1.67
656848,Michael Petersen,MIA,0.67
656849,David Peterson,CHC,-0.8600000000000001
656876,Drew Rasmussen,TBR,2.55
656945,Tanner Scott,LAD,1.24
656986,Bennett Sousa,HOU,0.08
657044,Ryan Thompson,ARI,-0.13
657097,Jacob Webb,CHC,0.7
657265,Peter Strzelecki,STL,-0.07
657277,Logan Webb,SFG,1.39
657424,Matt Gage,SFG,-0.43
657514,Brennan Bernardino,COL,1.46
657571,Caleb Ferguson,CIN,0.33
657612,Tim Hill,NYY,0.16
657649,Jared Koenig,MIL,-0.38
657746,Joe Ryan,MIN,1.99
657756,Connor Seabold,KCR,-0.15000000000000002
660271,Shohei Ohtani,LAD,2.9
660604,Alan Rangel,PHI,0.21
660710,Rodolfo Durán,SDP,-0.26
660761,José Suarez,ATL,0.34
660787,Yerry de los Santos,NYY,0.0
660825,Eduard Bazardo,SEA,0.88
660853,Enyel De Los Santos,HOU,0.1
661395,Jhoan Duran,PHI,2.06
661563,Luis Gil,NYY,-0.15
662144,Brian Keller,PHI,0.11
662253,Andrés Muñoz,SEA,0.34
663158,Robert Suarez,ATL,1.72
663362,Matt Waldron,SDP,-0.56
663372,Ryan Feltner,COL,0.59
663423,Trent Thornton,CHC,0.42
663436,Davis Martin,CHW,2.99
663460,Kris Bubic,KCR,0.69
663465,Kolby Allard,CLE,-0.33
663485,Cole Sands,MIN,-0.41
663494,Bryan Torres,STL,0.07
663542,Bryan Hudson,CHW,1.48
663554,Casey Mize,DET,2.9
663556,Shane McClanahan,TBR,1.33
663558,Jovani Morán,BOS,0.69
663559,Bailey Falter,KCR,-0.62
663567,Peter Lambert,HOU,3.13
663568,Stephen Kolek,KCR,0.12
663574,Tony Santillan,CIN,-0.22
663623,Jake Irvin,WSN,-0.2
663687,Hogan Harris,ATH,1.41
663738,Daniel Lynch IV,KCR,1.41
663765,Jake Woodford,CHC,-0.48
663767,Chase Shugart,PHI,0.33
663776,Patrick Sandoval,BOS,0.17
663855,Jordan Hicks,CHW,0.86
663878,Nate Pearson,KCR,0.19
663893,Brendon Little,TOR,-1.11
663903,Brady Singer,CIN,0.83
663941,Tristan Beck,SFG,-0.14
663947,Tyler Holton,DET,0.7
663967,César Salazar,HOU,-0.02
663969,Tyler Phillips,MIA,1.26
663978,Chris Paddack,CIN,-0.7999999999999999
663992,Richard Lovelady,WSN,0.44
664059,Sam Haggerty,TEX,0.03
664074,Cody Ponce,TOR,0.02
664076,Garrett Cleavinger,TBR,0.43
664126,Pete Fairbanks,MIA,-1.18
664129,Geoff Hartlieb,ATH,-0.02
664141,JT Brubaker,SFG,0.55
664192,Joey Lucchesi,LAA,-0.42
664199,Taylor Clarke,ARI,1.24
664208,Phil Maton,CHC,-0.6
664238,Dylan Moore,PHI,0.02
664285,Framber Valdez,DET,0.87
664299,Cristian Javier,HOU,-0.34
664353,José Urquidy,PIT,-0.6
664702,Myles Straw,TOR,0.1
664731,P.J. Higgins,CIN,0.03
664744,Jose Espada,BAL,0.03
664849,Danny Young,ATL,0.06
664854,Ryan Helsley,BAL,-0.04
