"last_name, first_name","player_id","display_team_name","year","primary_pos_formatted","fielding_runs_prevented","outs_above_average","outs_above_average_infront","outs_above_average_lateral_toward3bline","outs_above_average_lateral_toward1bline","outs_above_average_behind","outs_above_average_rhh","outs_above_average_lhh","actual_success_rate_formatted","adj_estimated_success_rate_formatted","diff_success_rate_formatted"
"Adell, Jo","666176","Angels","","RF","-3",-3,0,-4,0,1,1,-4,"83%","85%","-2%"
"Frazier, Adam","624428","Angels","","2B","-1",-1,0,-1,1,-1,0,-1,"75%","76%","-1%"
"Grissom, Vaughn","687093","Angels","","2B","-4",-5,0,-5,0,0,-1,-4,"69%","71%","-2%"
"Guzman, Denzer","694203","Angels","","3B","1",2,0,1,0,1,1,1,"70%","69%","1%"
"Lowe, Josh","666139","Angels","","LF","2",2,2,-1,1,0,0,1,"90%","89%","1%"
"Meckler, Wade","685133","Angels","","LF","1",2,1,-1,1,0,1,0,"88%","86%","2%"
"Neto, Zach","687263","Angels","","SS","-5",-6,-1,1,-5,-2,-5,-2,"74%","76%","-2%"
"Peraza, Oswald","672724","Angels","","2B","-1",-2,0,0,-1,-1,1,-2,"76%","77%","-1%"
"Schanuel, Nolan","694384","Angels","","1B","3",4,1,0,3,0,0,5,"73%","71%","2%"
"Siri, Jose","642350","Angels","","LF","-2",-3,-2,0,-1,-1,0,-3,"89%","91%","-2%"
"Trout, Mike","545361","Angels","","CF","-3",-4,-3,0,-1,0,-1,-3,"90%","91%","-1%"
