"last_name, first_name","player_id","display_team_name","year","primary_pos_formatted","fielding_runs_prevented","outs_above_average","outs_above_average_infront","outs_above_average_lateral_toward3bline","outs_above_average_lateral_toward1bline","outs_above_average_behind","outs_above_average_rhh","outs_above_average_lhh","actual_success_rate_formatted","adj_estimated_success_rate_formatted","diff_success_rate_formatted"
"Abrams, CJ","682928","Nationals","","SS","-7",-9,-10,2,-1,1,-7,-2,"72%","75%","-3%"
"Abreu, Wilyer","677800","Red Sox","","RF","5",5,1,1,2,1,1,4,"91%","88%","3%"
"Acuña Jr., Ronald","660670","Braves","","RF","-4",-4,0,-2,-2,0,0,-5,"86%","90%","-4%"
"Acuña, Luisangel","682668","White Sox","","SS","-3",-4,0,-2,-1,-1,-4,0,"82%","84%","-2%"
"Adames, Willy","642715","Giants","","SS","-9",-12,-4,-1,-7,0,-5,-7,"75%","80%","-5%"
"Adell, Jo","666176","Angels","","RF","-2",-3,1,-3,0,0,2,-4,"83%","85%","-2%"
"Albies, Ozzie","645277","Braves","","2B","2",2,2,-1,2,-1,-1,4,"73%","72%","1%"
"Alexander, Blaze","677942","Orioles","","3B","-4",-5,-4,-1,0,-1,-2,-3,"69%","72%","-3%"
"Alonso, Pete","624413","Orioles","","1B","0",1,1,-2,1,0,-1,2,"77%","76%","1%"
"Altuve, Jose","514888","Astros","","2B","-3",-4,1,-2,0,-2,-3,-1,"67%","69%","-2%"
"Antonacci, Sam","803011","White Sox","","LF","-3",-4,-1,0,-3,0,-2,-1,"82%","85%","-3%"
"Aranda, Jonathan","666018","Rays","","1B","-1",-1,-2,-1,2,0,-1,0,"72%","73%","-1%"
"Arenado, Nolan","571448","D-backs","","3B","3",4,2,2,0,0,6,-2,"69%","68%","1%"
"Arozarena, Randy","668227","Mariners","","LF","-2",-2,-1,0,-1,1,0,-2,"91%","92%","-1%"
"Arraez, Luis","650333","Giants","","2B","8",11,5,3,4,-1,6,5,"77%","74%","3%"
"Arroyo, Edwin","695490","Reds","","2B","1",2,0,0,2,0,2,-1,"73%","71%","2%"
"Barrosa, Jorge","678489","D-backs","","CF","4",4,1,0,3,0,3,1,"93%","88%","5%"
"Baty, Brett","683146","Mets","","3B","-3",-4,-6,2,1,-1,-3,-1,"74%","76%","-2%"
"Bauers, Jake","641343","Brewers","","1B","-5",-7,-1,-3,-2,0,-1,-6,"71%","75%","-4%"
"Bazzana, Travis","683953","Guardians","","2B","-1",-2,1,-2,-1,0,-3,1,"71%","72%","-1%"
"Bellinger, Cody","641355","Yankees","","LF","4",4,1,2,1,0,0,4,"95%","92%","3%"
"Benge, Carson","701807","Mets","","RF","2",2,2,-1,1,0,3,-1,"83%","82%","1%"
"Betts, Mookie","605141","Dodgers","","SS","4",5,3,1,1,0,2,3,"84%","81%","3%"
"Bichette, Bo","666182","Mets","","3B","0",0,1,1,-1,0,3,-3,"70%","70%","0%"
"Bleday, JJ","668709","Reds","","LF","-2",-2,0,-1,-2,1,-1,-1,"89%","91%","-2%"
"Bogaerts, Xander","593428","Padres","","SS","3",4,4,-1,2,0,3,1,"73%","71%","2%"
"Bohm, Alec","664761","Phillies","","3B","-3",-4,-2,-2,-1,1,-1,-3,"71%","73%","-2%"
"Bolte, Henry","703607","Athletics","","CF","1",1,1,1,-1,0,0,1,"90%","89%","1%"
"Bregman, Alex","608324","Cubs","","3B","2",3,2,-2,4,0,3,0,"72%","71%","1%"
"Burger, Jake","669394","Rangers","","1B","1",2,0,0,2,0,0,1,"71%","70%","1%"
"Burleson, Alec","676475","Cardinals","","1B","1",1,1,0,-1,1,1,0,"73%","72%","1%"
"Busch, Michael","683737","Cubs","","1B","4",6,3,0,2,1,1,5,"78%","75%","3%"
"Butler, Lawrence","671732","Athletics","","RF","-7",-8,-1,-5,-1,0,-4,-4,"85%","90%","-5%"
"Buxton, Byron","621439","Twins","","CF","3",4,1,1,1,1,2,2,"93%","91%","2%"
"Báez, Javier","595879","Tigers","","SS","-2",-2,2,0,-4,0,-1,-1,"75%","77%","-2%"
"Caballero, José","676609","Yankees","","SS","-1",-1,-3,3,-2,0,-2,1,"77%","77%","0%"
"Caglianone, Jac","695506","Royals","","RF","-4",-4,-1,-1,-4,1,1,-5,"83%","86%","-3%"
"Caissie, Owen","683357","Marlins","","RF","-6",-6,-1,-4,1,-2,-1,-6,"83%","89%","-6%"
"Caminero, Junior","691406","Rays","","3B","-8",-11,-7,-1,-2,0,-8,-2,"72%","75%","-3%"
"Carpenter, Kerry","681481","Tigers","","RF","-6",-7,-2,-2,-2,-1,-5,-2,"77%","84%","-7%"
"Carroll, Corbin","682998","D-backs","","RF","8",9,5,2,1,1,2,6,"89%","85%","4%"
"Carter, Evan","694497","Rangers","","CF","6",7,1,2,3,1,4,2,"95%","91%","4%"
"Castro, Willi","650489","Rockies","","2B","-2",-2,2,2,-3,-3,-1,-1,"73%","73%","0%"
"Chapman, Matt","656305","Giants","","3B","3",4,-1,3,2,-1,5,-1,"74%","73%","1%"
"Chisholm Jr., Jazz","665862","Yankees","","2B","6",8,1,4,4,-1,3,5,"77%","74%","3%"
"Chourio, Jackson","694192","Brewers","","LF","2",2,1,1,1,0,1,1,"95%","92%","3%"
"Church, Nathan","701675","Cardinals","","LF","0",0,-1,-1,2,0,2,-2,"90%","90%","0%"
"Clemens, Kody","665019","Twins","","1B","2",3,0,0,0,2,1,2,"84%","83%","1%"
"Clement, Ernie","676391","Blue Jays","","2B","-4",-6,0,-1,-4,0,-1,-5,"74%","76%","-2%"
"Collins, Isaac","686555","Royals","","LF","-4",-4,-2,-2,1,0,-2,-2,"82%","84%","-2%"
"Contreras, Willson","575929","Red Sox","","1B","1",1,-1,-1,3,0,-1,2,"74%","73%","1%"
"Correa, Carlos","621043","Astros","","SS","1",1,1,-1,1,0,0,1,"73%","72%","1%"
"Cowser, Colton","681297","Orioles","","CF","4",4,1,1,2,1,2,2,"93%","90%","3%"
"Crawford, J.P.","641487","Mariners","","SS","-6",-9,-1,-5,-3,0,-5,-4,"74%","78%","-4%"
"Crawford, Justin","702222","Phillies","","CF","-1",-1,-2,0,0,0,-3,1,"88%","89%","-1%"
"Cronenworth, Jake","630105","Padres","","2B","0",0,1,-2,2,-1,0,-1,"77%","77%","0%"
"Crow-Armstrong, Pete","691718","Cubs","","CF","13",14,-1,7,8,1,11,3,"96%","90%","6%"
"Cruz, Oneil","665833","Pirates","","CF","-2",-3,-2,0,0,-1,-4,1,"88%","90%","-2%"
"De La Cruz, Elly","682829","Reds","","SS","4",5,4,6,-4,-1,6,-1,"73%","71%","2%"
"DeLuca, Jonny","676356","Rays","","RF","2",3,1,-1,2,1,1,2,"91%","89%","2%"
"Devers, Rafael","646240","Giants","","1B","-1",-1,1,-4,1,0,0,-1,"70%","71%","-1%"
"Doyle, Brenton","686668","Rockies","","CF","0",0,0,0,0,0,0,-1,"92%","92%","0%"
"Dubón, Mauricio","643289","Braves","","SS","5",6,1,1,3,1,4,2,"84%","82%","2%"
"Dunn, Blake","694362","Reds","","CF","2",2,0,0,1,0,-1,2,"91%","89%","2%"
"Duran, Ezequiel","677649","Rangers","","SS","5",7,0,3,3,1,5,2,"82%","79%","3%"
"Duran, Jarren","680776","Red Sox","","LF","4",5,0,2,1,1,3,1,"92%","89%","3%"
"Durbin, Caleb","702332","Red Sox","","3B","2",2,1,0,1,0,2,1,"71%","70%","1%"
"Edwards, Xavier","669364","Marlins","","2B","2",3,1,2,2,-1,0,4,"75%","74%","1%"
"Emerson, Colt","806068","Mariners","","SS","-2",-3,-4,1,-1,1,-5,2,"70%","72%","-2%"
"Ewing, A.J.","805999","Mets","","CF","1",1,-3,1,2,1,0,1,"92%","91%","1%"
"France, Ty","664034","Padres","","1B","5",6,4,2,1,0,1,5,"83%","79%","4%"
"Frazier, Adam","624428","Angels","","2B","-1",-1,0,-1,1,-1,0,-1,"76%","77%","-1%"
"Freeland, Alex","690976","Dodgers","","2B","3",5,2,2,1,0,4,0,"83%","81%","2%"
"Freeman, Freddie","518692","Dodgers","","1B","2",2,3,-3,2,0,3,-1,"71%","70%","1%"
"Freeman, Tyler","671289","Rockies","","RF","-4",-4,0,-1,-3,-1,-5,0,"85%","89%","-4%"
"Frelick, Sal","686217","Brewers","","RF","-1",-1,0,0,0,0,0,0,"84%","85%","-1%"
"Friedl, TJ","670770","Reds","","CF","1",1,0,1,2,-1,2,-1,"93%","92%","1%"
"Garcia, Maikel","672580","Royals","","3B","4",6,5,1,0,-1,3,3,"73%","71%","2%"
"García Jr., Luis","671277","Nationals","","1B","-1",-1,-1,2,-1,0,-2,1,"70%","71%","-1%"
"García, Adolis","666969","Phillies","","RF","3",4,1,1,1,0,3,1,"92%","89%","3%"
"Gelof, Zack","680869","Athletics","","3B","0",0,0,-1,3,-1,-1,1,"75%","75%","0%"
"Gilbert, Drew","687551","Giants","","CF","0",0,0,-1,-1,1,2,-2,"88%","88%","0%"
"Giménez, Andrés","665926","Blue Jays","","SS","7",9,3,2,4,1,6,3,"74%","71%","3%"
"Goldschmidt, Paul","502671","Yankees","","1B","3",3,1,2,0,0,1,3,"78%","74%","4%"
"Gonzales, Nick","693304","Pirates","","3B","-3",-4,-4,0,2,-2,-3,-1,"67%","69%","-2%"
"Gorman, Nolan","669357","Cardinals","","3B","1",1,-1,1,1,0,1,1,"65%","64%","1%"
"Gray, Tristan","656484","Twins","","SS","-4",-5,-1,0,-5,1,-3,-2,"72%","75%","-3%"
"Greene, Riley","682985","Tigers","","LF","1",1,0,2,-1,0,0,1,"91%","91%","0%"
"Griffin, Konnor","804606","Pirates","","SS","-5",-6,-2,-2,-3,1,-3,-3,"82%","85%","-3%"
"Grisham, Trent","663757","Yankees","","CF","-2",-3,-3,1,0,-2,-2,-1,"89%","91%","-2%"
"Grissom, Vaughn","687093","Angels","","2B","-2",-2,2,-4,-1,0,0,-3,"67%","69%","-2%"
"Guerrero Jr., Vladimir","665489","Blue Jays","","1B","3",4,-1,0,5,1,1,3,"77%","75%","2%"
"Hamilton, David","666152","Brewers","","SS","-3",-4,-3,-2,3,-1,-2,-2,"76%","79%","-3%"
"Happ, Ian","664023","Cubs","","LF","-1",-1,0,0,-1,0,1,-2,"84%","84%","0%"
"Harper, Bryce","547180","Phillies","","1B","-6",-8,2,-7,-2,-1,-3,-5,"65%","69%","-4%"
"Harris II, Michael","671739","Braves","","CF","5",6,1,1,4,1,3,3,"96%","93%","3%"
"Hayes, Ke'Bryan","663647","Reds","","3B","0",0,0,0,0,1,2,-2,"77%","77%","0%"
"Henderson, Gunnar","683002","Orioles","","SS","2",3,-5,5,3,0,4,-1,"76%","75%","1%"
"Hernaiz, Darell","687231","Athletics","","SS","2",2,2,-1,2,0,1,1,"77%","75%","2%"
"Hernández, Heriberto","681715","Marlins","","LF","1",1,1,1,-1,-1,0,1,"89%","88%","1%"
"Hernández, Teoscar","606192","Dodgers","","LF","0",0,0,-2,1,1,0,0,"89%","89%","0%"
"Hoerner, Nico","663538","Cubs","","2B","6",8,2,2,4,1,4,5,"77%","75%","2%"
"Holliday, Jackson","702616","Orioles","","2B","0",0,-1,0,1,0,-1,1,"79%","79%","0%"
"Horwitz, Spencer","687462","Pirates","","1B","-2",-3,3,-7,1,1,-1,-2,"72%","74%","-2%"
"Hoskins, Rhys","656555","Guardians","","1B","-5",-7,1,-5,-2,-1,-2,-5,"65%","73%","-8%"
"House, Brady","691781","Nationals","","3B","-4",-5,-4,-1,-1,0,-3,-2,"61%","65%","-4%"
"Isbel, Kyle","664728","Royals","","CF","3",4,0,3,-1,1,2,2,"91%","89%","2%"
"Jackson, Jeremiah","669236","Orioles","","2B","-1",-2,-2,-1,1,1,0,-2,"78%","79%","-1%"
"Johnston, Troy","687859","Rockies","","RF","-3",-3,-1,3,-2,-3,0,-3,"79%","81%","-2%"
"Judge, Aaron","592450","Yankees","","RF","-2",-2,-2,0,0,-1,-1,0,"90%","91%","-1%"
"Julien, Edouard","666397","Rockies","","2B","-3",-4,2,-5,1,-1,-2,-2,"66%","68%","-2%"
"Jung, Josh","673962","Rangers","","3B","0",0,0,2,-1,-2,1,-2,"69%","69%","0%"
"Karros, Kyle","691720","Rockies","","3B","2",3,1,-1,2,0,3,1,"68%","67%","1%"
"Keaschall, Luke","807712","Twins","","2B","-5",-6,0,-4,-2,0,-3,-3,"70%","72%","-2%"
"Keith, Colt","690993","Tigers","","3B","0",0,0,1,0,0,1,-1,"71%","70%","1%"
"Kim, Ha-Seong","673490","Braves","","SS","-2",-2,0,-2,0,0,-3,1,"72%","74%","-2%"
"Kim, Hyeseong","808975","Dodgers","","SS","0",-1,-1,-2,2,0,-2,1,"79%","80%","-1%"
"Kiner-Falefa, Isiah","643396","Red Sox","","2B","5",7,3,2,1,1,5,1,"78%","72%","6%"
"Kreidler, Ryan","668952","Twins","","SS","-1",-1,1,0,-2,1,0,0,"80%","81%","-1%"
"Kurtz, Nick","701762","Athletics","","1B","-1",-2,4,-7,0,1,-1,-1,"71%","71%","0%"
"Kwan, Steven","680757","Guardians","","CF","5",6,0,1,3,1,5,0,"93%","90%","3%"
"Langford, Wyatt","694671","Rangers","","LF","2",2,0,1,0,0,1,1,"91%","89%","2%"
"Larnach, Trevor","663616","Twins","","LF","-3",-4,0,-2,-2,-1,-1,-3,"83%","85%","-2%"
"Laureano, Ramón","657656","Padres","","LF","0",0,-1,1,0,0,0,0,"85%","85%","0%"
"Lee, Brooks","686797","Twins","","SS","-5",-7,2,-7,-2,0,-8,1,"69%","72%","-3%"
"Lee, Hao-Yu","701678","Tigers","","2B","-2",-3,-2,-1,0,1,-1,-2,"72%","75%","-3%"
"Lee, Jung Hoo","808982","Giants","","RF","-2",-2,0,-1,0,-1,-2,0,"86%","87%","-1%"
"Lewis, Royce","668904","Twins","","3B","-3",-4,-2,-2,-1,1,-5,1,"70%","73%","-3%"
"Lile, Daylen","695734","Nationals","","LF","2",3,2,2,-2,1,1,1,"87%","86%","1%"
"Lindor, Francisco","596019","Mets","","SS","1",1,-1,0,2,0,0,1,"76%","75%","1%"
"Loftin, Nick","679845","Royals","","3B","-7",-9,-3,-5,-1,0,-7,-2,"63%","69%","-6%"
"Lopez, Nicky","670032","---","","2B","-1",-1,1,2,-3,-1,1,-2,"68%","70%","-2%"
"Lopez, Otto","672640","Marlins","","SS","2",3,6,0,-3,1,-1,4,"74%","73%","1%"
"Lowe, Brandon","664040","Pirates","","2B","5",7,0,3,3,1,4,3,"78%","76%","2%"
"Lowe, Josh","666139","Angels","","LF","1",1,1,-1,1,0,0,1,"86%","85%","1%"
"Lukes, Nathan","664770","Blue Jays","","RF","1",1,0,0,0,1,1,0,"91%","90%","1%"
"Machado, Manny","592518","Padres","","3B","4",6,3,2,0,0,5,1,"74%","71%","3%"
"Mangum, Jake","663968","Pirates","","CF","0",0,-1,1,-1,1,-1,1,"86%","86%","0%"
"Manzardo, Kyle","700932","Guardians","","1B","-2",-2,-1,-1,1,-2,-4,2,"74%","76%","-2%"
"Marsee, Jakob","805300","Marlins","","CF","3",3,-1,0,3,1,1,3,"92%","90%","2%"
"Marsh, Brandon","669016","Phillies","","LF","-1",-2,-1,1,0,-1,-1,-1,"90%","91%","-1%"
"Marte, Ketel","606466","D-backs","","2B","1",2,2,-1,0,1,2,0,"74%","74%","0%"
"Martin, Austin","668885","Twins","","RF","1",1,1,1,-2,1,-2,3,"89%","89%","0%"
"Martínez, Angel","682657","Guardians","","LF","1",1,0,1,-2,1,1,0,"90%","89%","1%"
"Massey, Michael","686681","Royals","","2B","6",8,-1,6,1,1,4,4,"74%","70%","4%"
"Mateo, Jorge","622761","Braves","","SS","2",3,2,0,1,0,1,2,"78%","75%","3%"
"Matthews, Brice","694728","Astros","","CF","4",5,-1,2,3,1,2,3,"89%","86%","3%"
"Mayer, Marcelo","691785","Red Sox","","2B","0",0,0,-2,2,-1,-1,1,"70%","71%","-1%"
"Mayo, Coby","691723","Orioles","","3B","-3",-4,-2,-3,0,0,-6,1,"64%","67%","-3%"
"McCarthy, Jake","664983","Rockies","","CF","0",0,-1,0,1,-1,0,0,"87%","88%","-1%"
