"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Crow-Armstrong, Pete","691718","2026","672","407",0.277,0.262,0.015000000000000013,0.562,0.507,0.05500000000000005,0.396,0.374,0.02200000000000002
"Herrera, Iván","671056","2026","670","446",0.244,0.248,-0.0040000000000000036,0.377,0.376,0.0010000000000000009,0.33,0.331,-0.0010000000000000009
"Bregman, Alex","608324","2026","669","486",0.264,0.248,0.016000000000000014,0.451,0.379,0.07200000000000001,0.352,0.321,0.030999999999999972
"Henderson, Gunnar","683002","2026","660","444",0.223,0.242,-0.01899999999999999,0.397,0.392,0.0050000000000000044,0.311,0.318,-0.007000000000000006
"Busch, Michael","683737","2026","659","413",0.239,0.231,0.00799999999999998,0.396,0.403,-0.007000000000000006,0.331,0.33,0.0010000000000000009
"Reynolds, Bryan","668804","2026","654","409",0.266,0.257,0.009000000000000008,0.429,0.454,-0.025000000000000022,0.353,0.359,-0.006000000000000005
"Alonso, Pete","624413","2026","652","410",0.269,0.284,-0.014999999999999958,0.499,0.542,-0.04300000000000004,0.372,0.395,-0.02300000000000002
"Caminero, Junior","691406","2026","651","455",0.279,0.272,0.007000000000000006,0.532,0.494,0.038000000000000034,0.38,0.362,0.018000000000000016
"Olson, Matt","621566","2026","650","423",0.25,0.248,0.0020000000000000018,0.508,0.509,-0.0010000000000000009,0.354,0.355,-0.0010000000000000009
"Tatis Jr., Fernando","665487","2026","649","465",0.289,0.297,-0.008000000000000007,0.459,0.489,-0.02999999999999997,0.354,0.376,-0.02200000000000002
"McGonigle, Kevin","805808","2026","649","469",0.272,0.262,0.010000000000000009,0.425,0.439,-0.014000000000000012,0.354,0.354,0
"Vargas, Miguel","678246","2026","648","434",0.247,0.266,-0.019000000000000017,0.47,0.502,-0.03200000000000003,0.358,0.379,-0.02100000000000002
"Schwarber, Kyle","656941","2026","646","337",0.238,0.24,-0.0020000000000000018,0.518,0.5,0.018000000000000016,0.371,0.365,0.006000000000000005
