"last_name, first_name","player_id","display_team_name","year","primary_pos_formatted","fielding_runs_prevented","outs_above_average","outs_above_average_infront","outs_above_average_lateral_toward3bline","outs_above_average_lateral_toward1bline","outs_above_average_behind","outs_above_average_rhh","outs_above_average_lhh","actual_success_rate_formatted","adj_estimated_success_rate_formatted","diff_success_rate_formatted"
"Abrams, CJ","682928","Nationals","","SS","-9",-12,-13,0,0,1,-10,-2,"71%","74%","-3%"
"Abreu, Wilyer","677800","Red Sox","","RF","5",6,2,1,3,0,2,3,"91%","88%","3%"
"Acuña Jr., Ronald","660670","Braves","","RF","-5",-6,0,-2,-2,-1,-1,-5,"85%","90%","-5%"
"Acuña, Luisangel","682668","White Sox","","SS","-2",-3,0,-2,0,-1,-3,1,"81%","82%","-1%"
"Adames, Willy","642715","Giants","","SS","-9",-12,-7,1,-6,0,-4,-8,"75%","79%","-4%"
"Adell, Jo","666176","Angels","","RF","-3",-4,0,-3,0,1,1,-5,"83%","85%","-2%"
"Albies, Ozzie","645277","Braves","","2B","1",1,0,0,2,-1,-2,3,"72%","71%","1%"
"Alexander, Blaze","677942","Orioles","","3B","-5",-6,-5,-2,2,-1,-2,-4,"70%","72%","-2%"
"Alonso, Pete","624413","Orioles","","1B","3",4,3,-1,2,1,1,3,"78%","77%","1%"
"Altuve, Jose","514888","Astros","","2B","-3",-4,0,-3,1,-2,-4,0,"69%","71%","-2%"
"Antonacci, Sam","803011","White Sox","","LF","-5",-5,-1,0,-4,0,-2,-3,"83%","86%","-3%"
"Aranda, Jonathan","666018","Rays","","1B","-2",-3,-2,-2,2,-1,-2,0,"71%","72%","-1%"
"Arenado, Nolan","571448","D-backs","","3B","4",6,5,0,1,0,9,-3,"69%","67%","2%"
"Arozarena, Randy","668227","Mariners","","LF","-3",-3,-2,0,-2,0,0,-3,"89%","91%","-2%"
"Arraez, Luis","650333","Giants","","2B","7",10,4,4,4,-2,5,5,"76%","73%","3%"
"Arroyo, Edwin","695490","Reds","","2B","3",4,-1,1,4,0,2,1,"73%","70%","3%"
"Baty, Brett","683146","Mets","","3B","-2",-2,-4,3,1,-1,-1,-1,"74%","74%","0%"
"Bauers, Jake","641343","Brewers","","1B","-8",-10,-3,-4,-2,-1,-4,-7,"69%","74%","-5%"
"Bazzana, Travis","683953","Guardians","","2B","-3",-4,2,-3,-2,-1,-5,1,"70%","72%","-2%"
"Bellinger, Cody","641355","Yankees","","LF","6",6,1,3,2,0,1,6,"95%","92%","3%"
"Benge, Carson","701807","Mets","","RF","-1",-1,0,-1,1,0,2,-3,"82%","82%","0%"
"Betts, Mookie","605141","Dodgers","","SS","5",6,3,1,1,0,4,3,"82%","79%","3%"
"Bichette, Bo","666182","Mets","","3B","1",1,2,1,-1,-1,4,-3,"70%","69%","1%"
"Bleday, JJ","668709","Reds","","LF","-2",-2,0,-1,-2,1,-1,0,"90%","91%","-1%"
"Bogaerts, Xander","593428","Padres","","SS","5",6,4,1,2,0,4,2,"73%","71%","2%"
"Bohm, Alec","664761","Phillies","","3B","-5",-7,-4,-4,0,1,-3,-4,"68%","70%","-2%"
"Bolte, Henry","703607","Athletics","","CF","0",0,0,1,0,-1,0,0,"89%","89%","0%"
"Bregman, Alex","608324","Cubs","","3B","3",4,3,-3,5,0,4,1,"72%","70%","2%"
"Burger, Jake","669394","Rangers","","1B","2",2,0,0,3,-1,0,2,"71%","70%","1%"
"Burleson, Alec","676475","Cardinals","","1B","0",0,-1,1,0,1,-2,1,"74%","74%","0%"
"Busch, Michael","683737","Cubs","","1B","3",3,2,0,2,0,1,2,"77%","76%","1%"
"Butler, Lawrence","671732","Athletics","","RF","-8",-9,-1,-5,-2,0,-4,-5,"85%","89%","-4%"
"Buxton, Byron","621439","Twins","","CF","2",3,1,1,0,1,2,0,"93%","91%","2%"
"Caballero, José","676609","Yankees","","SS","-1",-1,-2,2,-2,1,-3,2,"76%","77%","-1%"
"Caglianone, Jac","695506","Royals","","RF","-5",-6,-2,0,-4,1,0,-6,"84%","86%","-2%"
"Caissie, Owen","683357","Marlins","","RF","-7",-8,-2,-4,-1,-2,-2,-7,"82%","88%","-6%"
"Caminero, Junior","691406","Rays","","3B","-11",-15,-10,-2,-3,0,-13,-2,"71%","75%","-4%"
"Carrigg, Cole","694249","Rockies","","CF","0",1,0,1,-1,0,-1,1,"89%","89%","0%"
"Carroll, Corbin","682998","D-backs","","RF","7",8,4,2,1,1,2,6,"89%","86%","3%"
"Carter, Evan","694497","Rangers","","CF","7",7,1,2,3,1,5,3,"96%","93%","3%"
"Castro, Willi","650489","Rockies","","2B","-2",-3,4,3,-6,-3,-2,-1,"73%","74%","-1%"
"Chapman, Matt","656305","Giants","","3B","3",4,-1,3,2,-1,5,-1,"74%","73%","1%"
