"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Bregman, Alex","608324","2026","631","459",0.26,0.246,0.014000000000000012,0.445,0.378,0.067,0.346,0.317,0.02899999999999997
"Crow-Armstrong, Pete","691718","2026","631","381",0.28,0.257,0.02300000000000002,0.571,0.496,0.07499999999999996,0.401,0.368,0.03300000000000003
"Henderson, Gunnar","683002","2026","627","424",0.22,0.243,-0.022999999999999993,0.4,0.395,0.0050000000000000044,0.308,0.317,-0.009000000000000008
"Herrera, Iván","671056","2026","627","418",0.245,0.249,-0.0040000000000000036,0.374,0.373,0.0010000000000000009,0.33,0.331,-0.0010000000000000009
"Busch, Michael","683737","2026","624","389",0.236,0.228,0.00799999999999998,0.387,0.394,-0.007000000000000006,0.328,0.326,0.0020000000000000018
"Reynolds, Bryan","668804","2026","616","382",0.261,0.254,0.007000000000000006,0.418,0.445,-0.027000000000000024,0.349,0.355,-0.006000000000000005
"Alonso, Pete","624413","2026","611","386",0.269,0.285,-0.01599999999999996,0.502,0.547,-0.04500000000000004,0.371,0.395,-0.02400000000000002
"Caminero, Junior","691406","2026","610","425",0.279,0.273,0.006000000000000005,0.527,0.493,0.03400000000000003,0.379,0.363,0.016000000000000014
"Vargas, Miguel","678246","2026","609","409",0.251,0.27,-0.019000000000000017,0.484,0.514,-0.030000000000000027,0.367,0.387,-0.020000000000000018
"Tatis Jr., Fernando","665487","2026","609","436",0.284,0.295,-0.01100000000000001,0.449,0.483,-0.033999999999999975,0.347,0.372,-0.025000000000000022
"Olson, Matt","621566","2026","609","391",0.254,0.248,0.006000000000000005,0.518,0.513,0.0050000000000000044,0.361,0.357,0.0040000000000000036
"McGonigle, Kevin","805808","2026","608","440",0.271,0.261,0.010000000000000009,0.41,0.431,-0.02100000000000002,0.349,0.35,-0.0010000000000000009
"Alvarez, Yordan","670541","2026","608","396",0.317,0.323,-0.006000000000000005,0.603,0.654,-0.051000000000000045,0.43,0.45,-0.020000000000000018
"Stewart, Sal","701398","2026","607","416",0.266,0.257,0.009000000000000008,0.485,0.483,0.0020000000000000018,0.352,0.35,0.0020000000000000018
"Neto, Zach","687263","2026","603","354",0.236,0.21,0.025999999999999995,0.431,0.404,0.02699999999999997,0.328,0.306,0.02200000000000002
"Hoerner, Nico","663538","2026","603","502",0.26,0.297,-0.03699999999999998,0.356,0.374,-0.018000000000000016,0.299,0.322,-0.02300000000000002
"Abreu, Wilyer","677800","2026","603","413",0.258,0.254,0.0040000000000000036,0.468,0.473,-0.004999999999999949,0.346,0.348,-0.0020000000000000018
