"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Wood, James","695578","2026","493","263",0.269,0.275,-0.006000000000000005,0.543,0.592,-0.04899999999999993,0.398,0.42,-0.021999999999999964
"Ward, Taylor","621493","2026","477","293",0.251,0.252,-0.0010000000000000009,0.357,0.379,-0.02200000000000002,0.34,0.348,-0.007999999999999952
"Henderson, Gunnar","683002","2026","476","321",0.223,0.235,-0.011999999999999983,0.407,0.383,0.023999999999999966,0.306,0.303,0.0030000000000000027
"Bregman, Alex","608324","2026","468","331",0.234,0.231,0.0030000000000000027,0.351,0.345,0.006000000000000005,0.306,0.304,0.0020000000000000018
"Busch, Michael","683737","2026","463","279",0.245,0.231,0.013999999999999985,0.401,0.408,-0.006999999999999951,0.343,0.339,0.0040000000000000036
"Herrera, Iván","671056","2026","459","304",0.242,0.243,-0.0010000000000000009,0.374,0.369,0.0050000000000000044,0.334,0.333,0.0010000000000000009
"Tatis Jr., Fernando","665487","2026","459","321",0.28,0.287,-0.006999999999999951,0.398,0.441,-0.04299999999999998,0.329,0.356,-0.02699999999999997
"Neto, Zach","687263","2026","457","259",0.236,0.202,0.033999999999999975,0.445,0.404,0.04099999999999998,0.337,0.308,0.029000000000000026
"Alonso, Pete","624413","2026","457","284",0.247,0.273,-0.026000000000000023,0.458,0.509,-0.05099999999999999,0.348,0.378,-0.030000000000000027
"Olson, Matt","621566","2026","457","298",0.267,0.249,0.018000000000000016,0.528,0.506,0.02200000000000002,0.371,0.358,0.013000000000000012
"Caminero, Junior","691406","2026","456","314",0.285,0.28,0.004999999999999949,0.548,0.506,0.04200000000000004,0.391,0.373,0.018000000000000016
"Reynolds, Bryan","668804","2026","456","275",0.27,0.25,0.020000000000000018,0.453,0.44,0.013000000000000012,0.368,0.358,0.010000000000000009
