player_id,player_name,team,value
434378,Justin Verlander,DET,-0.21
445276,Kenley Jansen,DET,0.28
453286,Max Scherzer,TOR,-0.66
455119,Chris Martin,TEX,-0.76
471911,Carlos Carrasco,ATL,-0.23
472610,Luis Garcia,NYM,-0.62
476594,Robert Stock,NYM,0.24
489446,Kirby Yates,PIT,0.32
500743,Miguel Rojas,LAD,-0.19
500779,Jose Quintana,COL,0.36
518585,Fernando Cruz,NYY,1.24
518876,Merrill Kelly,ARI,0.14
518886,Craig Kimbrel,NYM,-0.09000000000000001
519141,Drew Pomeranz,CHC,-0.32
519242,Chris Sale,ATL,3.92
527048,Martín Pérez,ATL,2.3
542888,Shawn Armstrong,CLE,-0.01
543037,Gerrit Cole,NYY,1.7
543056,Danny Coulombe,BOS,-0.07
543135,Nathan Eovaldi,TEX,1.04
543243,Sonny Gray,BOS,2.85
543309,Kyle Higashioka,TEX,-0.23
543510,James McCann,ARI,-0.16
544150,Albert Suárez,BAL,0.07
545121,Ildemaro Vargas,ARI,-0.02
547179,Michael Lorenzen,COL,-1.37
547184,Michael Kelly,ATH,-0.82
547973,Aroldis Chapman,BOS,1.32
548384,Brooks Raley,PHI,1.3800000000000001
552640,Andrew Kittredge,BAL,-0.57
554430,Zack Wheeler,PHI,4.68
571510,Matthew Boyd,CHC,0.71
571578,Patrick Corbin,TOR,0.14
571927,Steven Matz,TBR,-0.75
571945,Miles Mikolas,WSN,-0.87
571948,Hoby Milner,CHC,0.26
572143,Burch Smith,DET,0.11
572955,Pierce Johnson,CIN,0.21
573009,Joe Mantiply,TOR,0.5
573124,Taylor Rogers,MIN,0.14
573204,Caleb Thielbar,CHC,-0.29
579328,Yusei Kikuchi,LAA,-0.02
592094,Jason Adam,SDP,0.95
592155,Cam Booser,TBR,0.71
592332,Kevin Gausman,TOR,1.52
592454,Tommy Kahnle,BOS,-0.2
592662,Robbie Ray,SFG,2.06
592773,Ryne Stanek,STL,-0.17
592779,Brock Stewart,LAD,0.23
592791,Jameson Taillon,CHC,-1.11
592826,Vince Velasquez,CHC,0.11
592836,Taijuan Walker,PHI,-0.66
592866,Trevor Williams,WSN,0.22
593958,Eduardo Rodríguez,ARI,4.2
593974,Wandy Peralta,SDP,0.81
594027,Tyron Guerrero,BOS,0.41
594580,Sam Moll,CIN,-0.05
594798,Jacob deGrom,TEX,1.62
594835,Marco Gonzales,TEX,0.17
595014,Blake Treinen,LAD,0.24
595345,Steven Okert,HOU,1.8
595978,Austin Hedges,CLE,-0.02
596001,Jakob Junis,TEX,1.04
596117,Garrett Stubbs,PHI,0.01
596133,Luke Weaver,NYM,1.96
601713,Nick Pivetta,SDP,0.14
605130,Scott Barlow,ATH,-0.53
605135,Chris Bassitt,BAL,-0.03
605154,John Brebbia,COL,-0.09
605156,Aaron Brooks,TBR,-0.53
605218,Carl Edwards Jr.,NYM,0.16
605280,Clay Holmes,NYM,1.91
605288,Adrian Houser,SFG,-0.18
605335,Brandon Leibrandt,CIN,-0.09
605400,Aaron Nola,PHI,0.8
605441,Yacksel Ríos,CHC,0.05
605447,Jordan Romano,COL,-0.14
605452,Joe Ross,ARI,-0.45999999999999996
605483,Blake Snell,LAD,-0.24
605488,Jeffrey Springs,ATH,-0.53
605540,Brandon Woodruff,MIL,1.11
606115,Orlando Arcia,MIN,-0.02
606303,Joel Payamps,ATL,-0.41
606965,Chris Devenski,PIT,-0.05
606996,Kyle Hart,SDP,0.11
607067,Colin Rea,CHC,-0.17
607074,Carlos Rodón,NYY,0.7
607192,Tyler Glasnow,LAD,1.26
607200,Erick Fedde,CHW,0.65
607259,Nick Martinez,TBR,3.3
607455,Anthony Banda,MIN,0.04
607481,Aaron Bummer,ATL,-1.29
607536,Kyle Freeland,COL,-0.46
607625,Seth Lugo,KCR,0.51
608032,Carlos Estévez,KCR,-0.49
608331,Max Fried,NYY,2.06
608337,Lucas Giolito,SDP,-0.19
608344,Cole Irvin,LAD,-0.42
608348,Carson Kelly,CHC,-0.07
608371,Lucas Sims,CHW,-0.14
608372,Tomoyuki Sugano,COL,2.09
608379,Michael Wacha,KCR,2.74
608566,Germán Márquez,SDP,-0.13
608650,Dietrich Enns,BAL,0.14
608718,Brent Suter,ATL,0.09
608723,Austin Voth,MIN,-0.5
615698,Cal Quantrill,TEX,0.32
620443,Luis Torrens,NYM,-0.04
621016,Jose Cuas,KCR,0.1
621053,Tyler Ferguson,CHC,0.01999999999999999
621074,Michael Rucker,SEA,0.07
621097,Jacob Waguespack,DET,0.77
621107,Zach Eflin,BAL,0.15
621111,Walker Buehler,SDP,0.21
621112,Paul Blackburn,NYY,1.84
621121,Lance McCullers Jr.,MIL,-0.8300000000000001
621139,Brooks Kriske,ATH,0.13
621237,José Alvarado,PHI,-0.1
621242,Edwin Díaz,LAD,-0.48
621345,A.J. Minter,NYM,0.49
621366,Ryan Borucki,SFG,-0.14
621381,Matt Strahm,KCR,-1.33
621383,Tanner Banks,PHI,-0.64
621389,Ty Blach,CHC,0.1
622088,Tejay Antone,CIN,1.19
622491,Luis Castillo,SEA,-0.9099999999999999
622554,Seranthony Domínguez,SEA,0.30000000000000004
622608,Antonio Senzatela,MIL,1.24
622663,Luis Severino,ATH,1.0
622694,Elieser Hernández,ATL,0.18
622761,Jorge Mateo,ATL,0.02
623149,Paul Sewald,ARI,-1.08
623168,Tyler Heineman,LAA,-0.11000000000000001
