player_id,player_name,team,value
434378,Justin Verlander,DET,-0.22
445276,Kenley Jansen,DET,0.68
453286,Max Scherzer,TOR,-0.43
455119,Chris Martin,TEX,-0.77
471911,Carlos Carrasco,ATL,-0.21
472610,Luis Garcia,NYM,-0.64
476594,Robert Stock,NYM,-0.25
489446,Kirby Yates,PIT,0.5900000000000001
500743,Miguel Rojas,LAD,-0.18
500779,Jose Quintana,COL,0.36
518585,Fernando Cruz,NYY,1.13
518876,Merrill Kelly,ARI,0.24
518886,Craig Kimbrel,NYM,-0.13999999999999999
519141,Drew Pomeranz,CHC,-0.32
519242,Chris Sale,ATL,5.41
527048,Martín Pérez,ATL,2.95
542888,Shawn Armstrong,CLE,-0.01
543037,Gerrit Cole,NYY,2.48
543056,Danny Coulombe,BOS,-0.05
543135,Nathan Eovaldi,TEX,1.44
543238,Anthony Gose,KCR,0.41
543243,Sonny Gray,BOS,4.07
543309,Kyle Higashioka,TEX,-0.23
543510,James McCann,ARI,-0.17
544150,Albert Suárez,BAL,0.1
545121,Ildemaro Vargas,ARI,0.0
547179,Michael Lorenzen,COL,-1.94
547184,Michael Kelly,ATH,-0.82
547973,Aroldis Chapman,BOS,1.91
548384,Brooks Raley,PHI,1.28
552640,Andrew Kittredge,BAL,-0.39
554430,Zack Wheeler,PHI,5.54
571510,Matthew Boyd,CHC,0.7
571578,Patrick Corbin,TOR,-0.15
571771,Enrique Hernández,LAD,0.03
571882,Derek Law,ARI,0.31
571912,Luke Maile,KCR,0.03
571927,Steven Matz,TBR,-0.76
571945,Miles Mikolas,WSN,-0.86
571948,Hoby Milner,CHC,0.26
572143,Burch Smith,DET,0.08
572955,Pierce Johnson,CIN,0.43
573009,Joe Mantiply,TOR,0.36
573124,Taylor Rogers,MIN,-0.13
573204,Caleb Thielbar,CHC,-0.23
579328,Yusei Kikuchi,LAA,0.26
592094,Jason Adam,SDP,0.87
592155,Cam Booser,TBR,0.87
592288,Kent Emanuel,CIN,0.17
592332,Kevin Gausman,CHC,1.02
592454,Tommy Kahnle,BOS,-0.2
592662,Robbie Ray,SDP,2.15
592773,Ryne Stanek,STL,0.13
592779,Brock Stewart,LAD,0.45
592791,Jameson Taillon,CHC,-0.7100000000000001
592826,Vince Velasquez,CHC,0.11
592836,Taijuan Walker,PHI,-0.66
592866,Trevor Williams,WSN,0.47
593958,Eduardo Rodríguez,ARI,4.66
593974,Wandy Peralta,SDP,0.72
594027,Tyron Guerrero,BOS,0.04
594580,Sam Moll,CIN,-0.25
594798,Jacob deGrom,TEX,2.49
594835,Marco Gonzales,TEX,0.19
595014,Blake Treinen,LAD,0.36
595345,Steven Okert,HOU,2.31
595978,Austin Hedges,CLE,-0.04
596001,Jakob Junis,TEX,0.62
596117,Garrett Stubbs,PHI,-0.09
596133,Luke Weaver,PIT,1.6600000000000001
596142,Gary Sánchez,MIL,0.06
601713,Nick Pivetta,SDP,0.66
605130,Scott Barlow,ATH,-0.52
605135,Chris Bassitt,BAL,0.71
605154,John Brebbia,COL,-0.08
605156,Aaron Brooks,TBR,-0.54
605218,Carl Edwards Jr.,NYM,0.15
605242,Michael Fulmer,NYY,0.22
605280,Clay Holmes,CHC,2.04
605288,Adrian Houser,SFG,0.79
605335,Brandon Leibrandt,CIN,-0.09
605400,Aaron Nola,PHI,3.21
605441,Yacksel Ríos,CHC,0.05
605447,Jordan Romano,COL,0.27
605452,Joe Ross,ARI,-0.48
605483,Blake Snell,LAD,1.51
605488,Jeffrey Springs,ATH,-0.47
605540,Brandon Woodruff,MIL,1.06
606115,Orlando Arcia,MIN,-0.02
606303,Joel Payamps,ATL,-0.4
606965,Chris Devenski,NYM,-0.5700000000000001
606996,Kyle Hart,SDP,-0.16
607067,Colin Rea,CHC,0.25
607074,Carlos Rodón,NYY,1.58
607192,Tyler Glasnow,LAD,1.62
607200,Erick Fedde,CHW,1.96
607259,Nick Martinez,TBR,3.86
607455,Anthony Banda,MIN,0.01
607481,Aaron Bummer,ATL,-1.28
607536,Kyle Freeland,COL,0.02
607625,Seth Lugo,KCR,-0.29
608032,Carlos Estévez,KCR,-0.5
608331,Max Fried,NYY,3.75
608337,Lucas Giolito,SDP,-0.23
608344,Cole Irvin,LAD,-0.41
608348,Carson Kelly,CHC,-0.02
608371,Lucas Sims,CHW,-0.13
608372,Tomoyuki Sugano,COL,1.44
608379,Michael Wacha,KCR,4.0
608566,Germán Márquez,SDP,-0.26
608650,Dietrich Enns,BAL,0.13
608718,Brent Suter,ATL,0.48000000000000004
608723,Austin Voth,MIN,-0.51
615698,Cal Quantrill,TEX,1.92
620443,Luis Torrens,NYM,-0.03
621016,Jose Cuas,KCR,0.36
621053,Tyler Ferguson,CHC,0.03999999999999998
621074,Michael Rucker,SEA,-0.6
621097,Jacob Waguespack,DET,1.09
621107,Zach Eflin,BAL,0.15
621111,Walker Buehler,SDP,0.82
621112,Paul Blackburn,NYY,3.04
621121,Lance McCullers Jr.,MIL,-0.8200000000000001
621139,Brooks Kriske,ATH,0.14
621237,José Alvarado,PHI,0.09
621242,Edwin Díaz,LAD,-1.2
621345,A.J. Minter,NYM,1.01
621366,Ryan Borucki,SFG,-0.11
621381,Matt Strahm,KCR,-1.32
621383,Tanner Banks,PHI,-0.58
621389,Ty Blach,CHC,0.11
622088,Tejay Antone,CIN,1.04
622491,Luis Castillo,CHW,-1.3599999999999999
622554,Seranthony Domínguez,SEA,0.8300000000000001
622608,Antonio Senzatela,MIL,0.9000000000000001
622663,Luis Severino,ATH,0.98
622694,Elieser Hernández,ATL,0.26
622761,Jorge Mateo,ATL,0.02
623149,Paul Sewald,ARI,-0.69
623168,Tyler Heineman,LAA,-0.13999999999999999
623211,Huascar Brazobán,NYM,1.26
