"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Young, Cole","702284","2026","477","359",0.265,0.278,-0.013000000000000012,0.41,0.418,-0.008000000000000007,0.323,0.331,-0.008000000000000007
"Walker, Christian","572233","2026","476","314",0.24,0.229,0.010999999999999982,0.456,0.391,0.065,0.337,0.308,0.029000000000000026
"Okamoto, Kazuma","672960","2026","475","281",0.225,0.209,0.016000000000000014,0.429,0.408,0.02100000000000002,0.318,0.304,0.014000000000000012
"Meidroth, Chase","805367","2026","475","316",0.274,0.236,0.038000000000000034,0.404,0.338,0.066,0.335,0.297,0.038000000000000034
"Paredes, Isaac","670623","2026","475","345",0.251,0.247,0.0040000000000000036,0.415,0.373,0.04199999999999998,0.337,0.321,0.016000000000000014
"Naylor, Josh","647304","2026","474","372",0.263,0.272,-0.009000000000000008,0.372,0.395,-0.02300000000000002,0.311,0.322,-0.01100000000000001
"Arozarena, Randy","668227","2026","474","314",0.276,0.268,0.008000000000000007,0.443,0.427,0.016000000000000014,0.359,0.352,0.007000000000000006
"Nimmo, Brandon","607043","2026","473","327",0.274,0.292,-0.01799999999999996,0.447,0.504,-0.056999999999999995,0.343,0.372,-0.02899999999999997
"Adames, Willy","642715","2026","473","305",0.222,0.219,0.0030000000000000027,0.413,0.381,0.03199999999999997,0.302,0.29,0.01200000000000001
"Riley, Austin","663586","2026","471","278",0.22,0.208,0.01200000000000001,0.365,0.383,-0.018000000000000016,0.294,0.295,-0.0010000000000000009
"Gonzales, Nick","693304","2026","471","354",0.306,0.282,0.02400000000000002,0.399,0.386,0.013000000000000012,0.337,0.32,0.017000000000000015
"Rafaela, Ceddanne","678882","2026","471","350",0.284,0.25,0.033999999999999975,0.463,0.364,0.09900000000000003,0.342,0.288,0.05400000000000005
"Clement, Ernie","676391","2026","471","407",0.284,0.25,0.033999999999999975,0.411,0.334,0.07699999999999996,0.313,0.268,0.044999999999999984
"Montgomery, Colson","695657","2026","469","266",0.215,0.212,0.0030000000000000027,0.445,0.418,0.027000000000000024,0.32,0.309,0.01100000000000001
"Contreras, William","661388","2026","468","358",0.264,0.261,0.0030000000000000027,0.388,0.43,-0.04199999999999998,0.314,0.327,-0.013000000000000012
"Benge, Carson","701807","2026","467","326",0.272,0.283,-0.010999999999999954,0.412,0.443,-0.031000000000000028,0.328,0.343,-0.015000000000000013
