"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Bregman, Alex","608324","2026","595","428",0.254,0.244,0.010000000000000009,0.415,0.371,0.043999999999999984,0.334,0.315,0.019000000000000017
"Crow-Armstrong, Pete","691718","2026","593","356",0.276,0.25,0.026000000000000023,0.55,0.472,0.07800000000000007,0.394,0.359,0.03500000000000003
"Henderson, Gunnar","683002","2026","592","397",0.219,0.244,-0.024999999999999994,0.392,0.396,-0.0040000000000000036,0.305,0.318,-0.013000000000000012
"Herrera, Iván","671056","2026","590","391",0.242,0.246,-0.0040000000000000036,0.378,0.373,0.0050000000000000044,0.33,0.33,0
"Busch, Michael","683737","2026","588","367",0.245,0.234,0.010999999999999982,0.396,0.402,-0.006000000000000005,0.336,0.333,0.0030000000000000027
"Reynolds, Bryan","668804","2026","583","358",0.263,0.247,0.016000000000000014,0.426,0.432,-0.006000000000000005,0.353,0.349,0.0040000000000000036
"Tatis Jr., Fernando","665487","2026","578","413",0.287,0.298,-0.01100000000000001,0.449,0.488,-0.03899999999999998,0.35,0.377,-0.027000000000000024
"Neto, Zach","687263","2026","577","340",0.236,0.207,0.028999999999999998,0.432,0.4,0.03199999999999997,0.327,0.303,0.02400000000000002
"McGonigle, Kevin","805808","2026","577","416",0.28,0.263,0.017000000000000015,0.427,0.434,-0.007000000000000006,0.359,0.353,0.006000000000000005
"Stewart, Sal","701398","2026","576","391",0.263,0.256,0.007000000000000006,0.475,0.475,0,0.348,0.349,-0.0010000000000000009
"Caminero, Junior","691406","2026","575","400",0.278,0.272,0.006000000000000005,0.531,0.495,0.03600000000000003,0.381,0.365,0.016000000000000014
"Olson, Matt","621566","2026","574","369",0.26,0.248,0.01200000000000001,0.533,0.516,0.017000000000000015,0.369,0.359,0.010000000000000009
"Vargas, Miguel","678246","2026","573","385",0.248,0.268,-0.020000000000000018,0.496,0.523,-0.027000000000000024,0.369,0.39,-0.02100000000000002
"Wetherholt, JJ","802139","2026","573","402",0.245,0.258,-0.013000000000000012,0.377,0.44,-0.063,0.326,0.352,-0.025999999999999968
"Alonso, Pete","624413","2026","571","365",0.276,0.287,-0.010999999999999954,0.512,0.553,-0.041000000000000036,0.378,0.396,-0.018000000000000016
"Alvarez, Yordan","670541","2026","570","375",0.323,0.331,-0.008000000000000007,0.619,0.673,-0.05400000000000005,0.437,0.458,-0.02100000000000002
"Hoerner, Nico","663538","2026","570","474",0.26,0.298,-0.03799999999999998,0.357,0.375,-0.018000000000000016,0.3,0.324,-0.02400000000000002
"Turner, Trea","607208","2026","569","405",0.241,0.244,-0.0030000000000000027,0.384,0.365,0.019000000000000017,0.297,0.293,0.0040000000000000036
"Schwarber, Kyle","656941","2026","568","289",0.241,0.237,0.0040000000000000036,0.524,0.497,0.027000000000000024,0.376,0.366,0.010000000000000009
"Harper, Bryce","547180","2026","567","354",0.265,0.276,-0.01100000000000001,0.499,0.503,-0.0040000000000000036,0.382,0.393,-0.01100000000000001
"Bichette, Bo","666182","2026","566","425",0.265,0.279,-0.014000000000000012,0.393,0.415,-0.021999999999999964,0.309,0.324,-0.015000000000000013
"Abreu, Wilyer","677800","2026","564","385",0.254,0.256,-0.0020000000000000018,0.46,0.481,-0.020999999999999963,0.342,0.352,-0.009999999999999953
"Díaz, Yandy","650490","2026","564","427",0.303,0.288,0.015000000000000013,0.463,0.445,0.018000000000000016,0.364,0.356,0.008000000000000007
"Albies, Ozzie","645277","2026","563","439",0.255,0.232,0.022999999999999993,0.42,0.357,0.063,0.316,0.285,0.031000000000000028
"Ward, Taylor","621493","2026","562","344",0.233,0.244,-0.010999999999999982,0.327,0.368,-0.04099999999999998,0.322,0.339,-0.017000000000000015
"Aranda, Jonathan","666018","2026","561","362",0.277,0.259,0.018000000000000016,0.417,0.437,-0.020000000000000018,0.342,0.345,-0.002999999999999947
"Lopez, Otto","672640","2026","561","456",0.306,0.281,0.024999999999999967,0.444,0.419,0.025000000000000022,0.34,0.323,0.017000000000000015
"Carroll, Corbin","682998","2026","560","365",0.251,0.253,-0.0020000000000000018,0.488,0.45,0.03799999999999998,0.359,0.349,0.010000000000000009
"Edwards, Xavier","669364","2026","559","420",0.286,0.263,0.022999999999999965,0.383,0.364,0.019000000000000017,0.332,0.316,0.016000000000000014
"Ohtani, Shohei","660271","2026","559","346",0.287,0.293,-0.006000000000000005,0.546,0.575,-0.028999999999999915,0.392,0.407,-0.014999999999999958
"Devers, Rafael","646240","2026","559","355",0.244,0.229,0.014999999999999986,0.48,0.445,0.034999999999999976,0.344,0.327,0.01699999999999996
"Burleson, Alec","676475","2026","556","411",0.291,0.297,-0.006000000000000005,0.487,0.537,-0.050000000000000044,0.364,0.383,-0.019000000000000017
"Perdomo, Geraldo","672695","2026","555","405",0.249,0.252,-0.0030000000000000027,0.372,0.343,0.02899999999999997,0.328,0.324,0.0040000000000000036
"Machado, Manny","592518","2026","555","371",0.213,0.244,-0.031,0.404,0.424,-0.019999999999999962,0.308,0.33,-0.02200000000000002
"Turang, Brice","668930","2026","555","347",0.257,0.254,0.0030000000000000027,0.428,0.426,0.0020000000000000018,0.342,0.339,0.0030000000000000027
"Walker, Jordan","691023","2026","551","372",0.285,0.274,0.010999999999999954,0.502,0.488,0.014000000000000012,0.365,0.355,0.010000000000000009
"Pages, Andy","681624","2026","550","391",0.272,0.272,0,0.458,0.438,0.020000000000000018,0.346,0.34,0.00599999999999995
"Freeman, Freddie","518692","2026","550","400",0.299,0.297,0.0020000000000000018,0.458,0.482,-0.023999999999999966,0.362,0.371,-0.009000000000000008
"Arraez, Luis","650333","2026","549","494",0.321,0.292,0.029000000000000026,0.44,0.384,0.055999999999999994,0.342,0.31,0.03200000000000003
"Lowe, Brandon","664040","2026","548","336",0.251,0.236,0.015000000000000013,0.473,0.426,0.046999999999999986,0.34,0.32,0.020000000000000018
